front,back
s'mêfier dé,to beware of
un monstre,a monster
car,because
hanter,to haunt
né v'la chein,there are those
craithe,to believe
un r'vénant,a ghost
un démon,a demon
un c'mîn,a road
la côte,the coast
en mé,at sea
un clios,a field
chouaîsi,to choose
tchiques,some
eune histouaithe,a story
acouo,still
un aut',another
liéthe,to read
